time,Power_kW,HR,pres_mbar,rain_mm/h,solarRad_W/m2,temp_C,windGust_m/s,windSpeed_m/s,Holiday,Weekday,Hour,Month,Power -1,rain_day
2017-03-02 00:00:00,46.570216,80.00833333333334,1022.5,0.0,0.9785,11.705,0.8384999999999999,0.6865833333333334,0,3,0,3,48.4980415,
2017-03-02 01:00:00,45.024547,81.5,1022.0,0.0,0.8516666666666667,11.4175,0.0,0.0,0,3,1,3,46.570216,
2017-03-02 02:00:00,44.8788075,82.98333333333333,1021.9166666666666,0.0,0.7363333333333334,11.0225,0.0,0.0,0,3,2,3,45.024547,
2017-03-02 03:00:00,45.3140595,83.58333333333333,1021.0,0.0,0.76175,10.861666666666666,0.0,0.0,0,3,3,3,44.8788075,
2017-03-02 04:00:00,44.816098,81.69166666666666,1021.0,0.0,0.7686666666666667,10.748333333333331,0.0,0.0,0,3,4,3,45.3140595,
2017-03-02 05:00:00,44.662711,80.65833333333333,1021.0,0.0,1.2420833333333332,10.740833333333333,0.4820833333333333,0.3547499999999999,0,3,5,3,44.816098,
2017-03-02 06:00:00,52.6342465,81.03333333333333,1021.0,0.0,1.2671666666666666,10.679166666666667,0.5030833333333333,0.3651666666666666,0,3,6,3,44.662711,
2017-03-02 07:00:00,89.03438,83.69166666666666,1021.0,0.0,16.10175,10.7975,0.5449999999999999,0.2743333333333333,0,3,7,3,52.6342465,
2017-03-02 08:00:00,114.378632,83.0,1021.0,0.0,110.6475,11.535000000000002,0.4193333333333333,0.194,0,3,8,3,89.03438,
2017-03-02 09:00:00,131.8890035,77.7,1021.0,0.0,241.6,12.661666666666669,1.111,0.6621666666666667,0,3,9,3,114.378632,
2017-03-02 10:00:00,231.2488195,69.32583333333334,1021.0,0.0,404.75,13.839166666666666,1.5093333333333332,0.9714166666666668,0,3,10,3,131.8890035,
2017-03-02 11:00:00,201.989703,51.87833333333333,1020.9166666666666,0.0,493.8416666666667,14.896666666666668,2.26425,1.6597499999999998,0,3,11,3,231.2488195,
2017-03-02 12:00:00,211.6541765,50.56833333333333,1020.0,0.0,634.1333333333333,14.761666666666668,3.081666666666667,2.3008333333333333,0,3,12,3,201.989703,
2017-03-02 13:00:00,212.3446365,47.3025,1019.0833333333334,0.0,652.3333333333334,16.0125,2.28525,1.5688333333333333,0,3,13,3,211.6541765,
2017-03-02 14:00:00,212.6033405,47.02916666666667,1018.0,0.0,669.9583333333334,15.365,5.366916666666666,4.041,0,3,14,3,212.3446365,
